contest1.map	DLRDDUULLLDDL
contest2.map	RRUDRRULURULLLLDDDL
contest3.map	LDDDRRRRDDLLLLLDURRRRUURR
contest4.map	URDDLRDRDRDRRLUUURUULUDRR
contest5.map	LLUURUUUUURRRRRLDDRRRDDDDDLLRRUUUUULLLLLLRRDDDDDD
contest6.map	RUULRRRRRRRRRRUUURRDDDDDLLLLLLLLLRRRRRRRRRUUUUULUURUUULULLULLLLLLDDRRRDULLLUULLLDRDLDDDDDDRRRRRRRR
contest7.map	RDRRRDRDDDRRRLLLUULLLLDDLLRRURR
contest8.map	UULLDDRLULLLLLRRRRRURRRRRRURRRLLLLLLLUUUUUUUUULLLLUUULLLLLRRDDDDDDLDRDDDLLRRUUUULLDDUURRUUUUUURRRDDDRRRRDDRRRRRDRRDDWLDDDDRRDDDLLLLLLLLD
contest9.map	LRUURRRDULLLDDRRRRRRRRRRRRRRRULLURRRRRRRRRDDLLLULDUULLLLLULLLULDURUUUULLLLLLRRUUULDDRWLLRWLLLLRRRURRURUURRRRDDRRRRRRDDRRRRDUULLULLLLLLUUULLLLLLU
contest10.map	UUUUULLLDLULLDRDDRRRLLLUULLLLLLLDLLDDDLLLLUUULLLLURRRRUULLLLLLLLUURRRRULLLUUULUUURRRUULUUURDRDURRRRRUURRRRRRRRRRRRRRRRRLLLLDDRRLLLLULLLDDDRRUDLLLDDDDDLLDDLDDRRULURRUURRDDRRRRRUURRDRLULLDDDDRRRDDDDDDDDD
flood1.map	LLLLDDDRRRDDRRULLLULURRRRRRRDDDD
flood2.map	RRUDRRULURULLLLDDDL
flood3.map	LLUURUUUUURRRRRLDDRRRDDDDDLLRRUUUUULLLLLLRRDDDDDD
flood4.map	RRRRRDDDDDDDRRRRRRRRRRRRRRULLLLUUUUURRURRLLDDLDWRRRULLLLDLLLLLLLLLLLLDDUULLLLUUUULLULLLLLLLLLLLLUUUURRRRRRRUURRURRRRRRRRRRRRDDDDDDLLLLULLLLLDDDRRRRRRRRRDRRRRRRRRRUUULLLRRRDDDDDDRRRRR
flood5.map	URDDLRDRDRDRRLUUURUULUDRR
trampoline1.map	RRDDLDURRDLURRUULDLLLURRRRRRDD
trampoline2.map	UULLLLLDRURRRRRDDLULDLLLLLLURULLLDDLULDLUUULULUUURRRDRDLLL
trampoline3.map	RRRRDDLDDDDDDDLRRRRRRRRDDDLLDDDULRUURRUUUURUUUURRRRUURRRRRRRRRRRRRRRRRRDDDRDDDDRRLULLUUUULLLLLLLLLLLLLRRRRRRRRRRRRDDRLLDDDDDLLLLLRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRLLLLLLUULLLLLLLLLLLLUUUULLDRDLDRRDRRRUUUURRRRURRRRRRRRRRRR
beard1.map	RDLLDURRRDDDSLLLDDRURRRRUUUUULURRRDDDDDR
beard2.map	DDDDDDDDDDRRRRRRRRRRRRRRRRRRRRRRRRRULLLLLLLUULRDDLLLUURDWLDLLLLLLUURRRULLLLLDDLLLLUUURRRRRRUURRRRRRDDUURRRRRDDRRRRRRUUULLLLLLLLLLLLLLLLLLLLLLLLDRRRRRRRRRRRRRRRRRRRRRRDRRDRDDDDDDD
beard3.map	DRRRRRLLLLDDRRRRDDWSDSUULLULLDDURRRRDDDDRRRLLLLLUDLLDLDDRRRULLLSUURULLUULUUURWLLRDLLLDLLLLDRRDDLUDLLU
beard4.map	LLLLLDDDDLRUULLLDLDDUURURRRUULLLLRRRLLUURRLLDDRRRRRRRDURRDDDDRLUUULULWRURRLLLLLLRRRDDRRDRRRRUUURRDLRRDLDLDDDDDDDLLLLDDDUUULLLUURRLLUUUDDDLLLLLRRRRRDDLLLLLLLLRRRRRRRRRRRDDLLLLLLLLLLLRRRRRRRRRRRRRRRRRLLUSURRUUUUUR
beard5.map	SRURDSRURRLURRLDLRLUUUUULLLLLLLLURRUUURRRRRRRRDRDDRRRRRRDDDDRDDLLLLLDD
horock1.map	DRRDDRLDDUUUUURRRRRUULDDWRLUURUULLLUUUDDDRRRRRDLLDDUURRRDDDRRRULLLUUUUUUULLUU
horock2.map	RRRRRRRRRRRRRWLLLLLLLLLLLUUURRRRRRRRLLLLLLDULLLLUULULRLLLRLLRLRLULLLLLLLLLLDDDDDD
horock3.map	RRUUULLUUUUURUUURRRDRRRRLDDRRRRDDDDRRURRRRRRRRRSDSULLLLLLUUUULLLUULLDRRDDLLLLLLULULLDDLLDDDDDDDDRRRLRRRRRLRRRRRLWRULULULULULULULULRRRRRRRRDDDRRRRRRRRRDRDD
